Config,Hidden_Layers,Hidden_Neurons,Train_Time_Steps,Train_Accuracy,Inference_Time_Steps,Test_Accuracy
h16_l1_t25,1,16,25,93.36,25,93.19
h16_l1_t25,1,16,25,93.36,50,93.33
h16_l1_t25,1,16,25,93.36,75,93.20
h16_l1_t25,1,16,25,93.36,100,93.31
h16_l1_t50,1,16,50,93.31,25,93.44
h16_l1_t50,1,16,50,93.31,50,93.27
h16_l1_t50,1,16,50,93.31,75,93.38
h16_l1_t50,1,16,50,93.31,100,93.37
h16_l1_t75,1,16,75,92.31,25,92.28
h16_l1_t75,1,16,75,92.31,50,92.09
h16_l1_t75,1,16,75,92.31,75,92.22
h16_l1_t75,1,16,75,92.31,100,92.31
h16_l1_t100,1,16,100,92.53,25,92.51
h16_l1_t100,1,16,100,92.53,50,92.47
h16_l1_t100,1,16,100,92.53,75,92.40
h16_l1_t100,1,16,100,92.53,100,92.51
h32_l1_t25,1,32,25,95.80,25,95.58
h32_l1_t25,1,32,25,95.80,50,95.61
h32_l1_t25,1,32,25,95.80,75,95.74
h32_l1_t25,1,32,25,95.80,100,95.77
h32_l1_t50,1,32,50,95.50,25,95.32
h32_l1_t50,1,32,50,95.50,50,95.39
h32_l1_t50,1,32,50,95.50,75,95.47
h32_l1_t50,1,32,50,95.50,100,95.42
h32_l1_t75,1,32,75,95.32,25,95.32
h32_l1_t75,1,32,75,95.32,50,95.40
h32_l1_t75,1,32,75,95.32,75,95.22
h32_l1_t75,1,32,75,95.32,100,95.27
h32_l1_t100,1,32,100,94.18,25,94.18
h32_l1_t100,1,32,100,94.18,50,94.11
h32_l1_t100,1,32,100,94.18,75,94.22
h32_l1_t100,1,32,100,94.18,100,94.19
h64_l1_t25,1,64,25,96.81,25,96.76
h64_l1_t25,1,64,25,96.81,50,96.83
h64_l1_t25,1,64,25,96.81,75,96.70
h64_l1_t25,1,64,25,96.81,100,96.79
h64_l1_t50,1,64,50,96.09,25,96.12
h64_l1_t50,1,64,50,96.09,50,96.04
h64_l1_t50,1,64,50,96.09,75,96.22
h64_l1_t50,1,64,50,96.09,100,96.03
h64_l1_t75,1,64,75,96.50,25,96.41
h64_l1_t75,1,64,75,96.50,50,96.64
h64_l1_t75,1,64,75,96.50,75,96.51
h64_l1_t75,1,64,75,96.50,100,96.35
h64_l1_t100,1,64,100,96.40,25,96.53
h64_l1_t100,1,64,100,96.40,50,96.45
h64_l1_t100,1,64,100,96.40,75,96.36
h64_l1_t100,1,64,100,96.40,100,96.52
h128_l1_t25,1,128,25,97.19,25,97.15
h128_l1_t25,1,128,25,97.19,50,97.16
h128_l1_t25,1,128,25,97.19,75,97.27
h128_l1_t25,1,128,25,97.19,100,97.19
h128_l1_t50,1,128,50,97.29,25,97.38
h128_l1_t50,1,128,50,97.29,50,97.36
h128_l1_t50,1,128,50,97.29,75,97.38
h128_l1_t50,1,128,50,97.29,100,97.33
h128_l1_t75,1,128,75,96.95,25,96.98
h128_l1_t75,1,128,75,96.95,50,96.97
h128_l1_t75,1,128,75,96.95,75,96.91
h128_l1_t75,1,128,75,96.95,100,96.84
h128_l1_t100,1,128,100,97.10,25,97.04
h128_l1_t100,1,128,100,97.10,50,97.13
h128_l1_t100,1,128,100,97.10,75,96.93
h128_l1_t100,1,128,100,97.10,100,97.12
h256_l1_t25,1,256,25,97.70,25,97.72
h256_l1_t25,1,256,25,97.70,50,97.75
h256_l1_t25,1,256,25,97.70,75,97.77
h256_l1_t25,1,256,25,97.70,100,97.72
h256_l1_t50,1,256,50,97.43,25,97.48
h256_l1_t50,1,256,50,97.43,50,97.38
h256_l1_t50,1,256,50,97.43,75,97.49
h256_l1_t50,1,256,50,97.43,100,97.34
h256_l1_t75,1,256,75,97.21,25,97.19
h256_l1_t75,1,256,75,97.21,50,97.31
h256_l1_t75,1,256,75,97.21,75,97.25
h256_l1_t75,1,256,75,97.21,100,97.16
h256_l1_t100,1,256,100,96.80,25,96.89
h256_l1_t100,1,256,100,96.80,50,96.88
h256_l1_t100,1,256,100,96.80,75,96.91
h256_l1_t100,1,256,100,96.80,100,96.82
h512_l1_t25,1,512,25,97.80,25,97.79
h512_l1_t25,1,512,25,97.80,50,97.87
h512_l1_t25,1,512,25,97.80,75,97.80
h512_l1_t25,1,512,25,97.80,100,97.83
h512_l1_t50,1,512,50,97.66,25,97.78
h512_l1_t50,1,512,50,97.66,50,97.78
h512_l1_t50,1,512,50,97.66,75,97.62
h512_l1_t50,1,512,50,97.66,100,97.63
h512_l1_t75,1,512,75,97.61,25,97.62
h512_l1_t75,1,512,75,97.61,50,97.77
h512_l1_t75,1,512,75,97.61,75,97.65
h512_l1_t75,1,512,75,97.61,100,97.68
h512_l1_t100,1,512,100,97.46,25,97.39
h512_l1_t100,1,512,100,97.46,50,97.41
h512_l1_t100,1,512,100,97.46,75,97.48
h512_l1_t100,1,512,100,97.46,100,97.42
h16_l2_t25,2,16,25,93.79,25,93.76
h16_l2_t25,2,16,25,93.79,50,93.88
h16_l2_t25,2,16,25,93.79,75,93.60
h16_l2_t25,2,16,25,93.79,100,93.83
h16_l2_t50,2,16,50,93.58,25,93.65
h16_l2_t50,2,16,50,93.58,50,93.80
h16_l2_t50,2,16,50,93.58,75,93.59
h16_l2_t50,2,16,50,93.58,100,93.63
h16_l2_t75,2,16,75,92.90,25,92.75
h16_l2_t75,2,16,75,92.90,50,92.86
h16_l2_t75,2,16,75,92.90,75,93.13
h16_l2_t75,2,16,75,92.90,100,92.88
h16_l2_t100,2,16,100,91.86,25,91.74
h16_l2_t100,2,16,100,91.86,50,91.75
h16_l2_t100,2,16,100,91.86,75,91.73
h16_l2_t100,2,16,100,91.86,100,91.84
h32_l2_t25,2,32,25,95.78,25,95.89
h32_l2_t25,2,32,25,95.78,50,95.99
h32_l2_t25,2,32,25,95.78,75,95.77
h32_l2_t25,2,32,25,95.78,100,95.87
h32_l2_t50,2,32,50,95.36,25,95.58
h32_l2_t50,2,32,50,95.36,50,95.67
h32_l2_t50,2,32,50,95.36,75,95.43
h32_l2_t50,2,32,50,95.36,100,95.60
h32_l2_t75,2,32,75,94.99,25,94.89
h32_l2_t75,2,32,75,94.99,50,94.98
h32_l2_t75,2,32,75,94.99,75,94.92
h32_l2_t75,2,32,75,94.99,100,95.00
h32_l2_t100,2,32,100,95.02,25,94.89
h32_l2_t100,2,32,100,95.02,50,95.10
h32_l2_t100,2,32,100,95.02,75,94.83
h32_l2_t100,2,32,100,95.02,100,94.74
h64_l2_t25,2,64,25,96.65,25,96.85
h64_l2_t25,2,64,25,96.65,50,96.87
h64_l2_t25,2,64,25,96.65,75,96.90
h64_l2_t25,2,64,25,96.65,100,96.94
h64_l2_t50,2,64,50,97.02,25,96.75
h64_l2_t50,2,64,50,97.02,50,96.92
h64_l2_t50,2,64,50,97.02,75,97.07
h64_l2_t50,2,64,50,97.02,100,97.05
h64_l2_t75,2,64,75,95.83,25,95.85
h64_l2_t75,2,64,75,95.83,50,95.97
h64_l2_t75,2,64,75,95.83,75,95.92
h64_l2_t75,2,64,75,95.83,100,95.88
h64_l2_t100,2,64,100,95.97,25,96.02
h64_l2_t100,2,64,100,95.97,50,95.88
h64_l2_t100,2,64,100,95.97,75,96.04
h64_l2_t100,2,64,100,95.97,100,95.85
h128_l2_t25,2,128,25,96.88,25,96.74
h128_l2_t25,2,128,25,96.88,50,96.92
h128_l2_t25,2,128,25,96.88,75,96.73
h128_l2_t25,2,128,25,96.88,100,96.83
h128_l2_t50,2,128,50,97.54,25,97.49
h128_l2_t50,2,128,50,97.54,50,97.49
h128_l2_t50,2,128,50,97.54,75,97.60
h128_l2_t50,2,128,50,97.54,100,97.52
h128_l2_t75,2,128,75,97.11,25,97.11
h128_l2_t75,2,128,75,97.11,50,97.23
h128_l2_t75,2,128,75,97.11,75,97.09
h128_l2_t75,2,128,75,97.11,100,97.17
h128_l2_t100,2,128,100,96.88,25,96.99
h128_l2_t100,2,128,100,96.88,50,97.01
h128_l2_t100,2,128,100,96.88,75,96.93
h128_l2_t100,2,128,100,96.88,100,97.05
h256_l2_t25,2,256,25,97.83,25,97.79
h256_l2_t25,2,256,25,97.83,50,97.77
h256_l2_t25,2,256,25,97.83,75,97.72
h256_l2_t25,2,256,25,97.83,100,97.67
h256_l2_t50,2,256,50,97.05,25,97.07
h256_l2_t50,2,256,50,97.05,50,96.94
h256_l2_t50,2,256,50,97.05,75,97.07
h256_l2_t50,2,256,50,97.05,100,97.06
h256_l2_t75,2,256,75,97.55,25,97.47
h256_l2_t75,2,256,75,97.55,50,97.50
h256_l2_t75,2,256,75,97.55,75,97.59
h256_l2_t75,2,256,75,97.55,100,97.45
h256_l2_t100,2,256,100,97.06,25,97.26
h256_l2_t100,2,256,100,97.06,50,97.09
h256_l2_t100,2,256,100,97.06,75,97.13
h256_l2_t100,2,256,100,97.06,100,97.05
h512_l2_t25,2,512,25,97.91,25,97.92
h512_l2_t25,2,512,25,97.91,50,97.88
h512_l2_t25,2,512,25,97.91,75,98.00
h512_l2_t25,2,512,25,97.91,100,97.90
h512_l2_t50,2,512,50,97.85,25,97.89
h512_l2_t50,2,512,50,97.85,50,97.76
h512_l2_t50,2,512,50,97.85,75,97.90
h512_l2_t50,2,512,50,97.85,100,97.89
h512_l2_t75,2,512,75,97.65,25,97.71
h512_l2_t75,2,512,75,97.65,50,97.75
h512_l2_t75,2,512,75,97.65,75,97.71
h512_l2_t75,2,512,75,97.65,100,97.60
h512_l2_t100,2,512,100,97.49,25,97.50
h512_l2_t100,2,512,100,97.49,50,97.49
h512_l2_t100,2,512,100,97.49,75,97.60
h512_l2_t100,2,512,100,97.49,100,97.53
h16_l3_t25,3,16,25,93.54,25,93.53
h16_l3_t25,3,16,25,93.54,50,93.84
h16_l3_t25,3,16,25,93.54,75,93.74
h16_l3_t25,3,16,25,93.54,100,93.61
h16_l3_t50,3,16,50,92.50,25,92.07
h16_l3_t50,3,16,50,92.50,50,92.20
h16_l3_t50,3,16,50,92.50,75,92.33
h16_l3_t50,3,16,50,92.50,100,92.04
h16_l3_t75,3,16,75,92.89,25,92.73
h16_l3_t75,3,16,75,92.89,50,92.65
h16_l3_t75,3,16,75,92.89,75,92.71
h16_l3_t75,3,16,75,92.89,100,92.71
h16_l3_t100,3,16,100,92.12,25,92.13
h16_l3_t100,3,16,100,92.12,50,92.20
h16_l3_t100,3,16,100,92.12,75,92.36
h16_l3_t100,3,16,100,92.12,100,92.24
h32_l3_t25,3,32,25,95.29,25,95.17
h32_l3_t25,3,32,25,95.29,50,95.26
h32_l3_t25,3,32,25,95.29,75,95.36
h32_l3_t25,3,32,25,95.29,100,95.16
h32_l3_t50,3,32,50,95.19,25,95.19
h32_l3_t50,3,32,50,95.19,50,95.40
h32_l3_t50,3,32,50,95.19,75,95.32
h32_l3_t50,3,32,50,95.19,100,95.28
h32_l3_t75,3,32,75,94.56,25,94.78
h32_l3_t75,3,32,75,94.56,50,94.48
h32_l3_t75,3,32,75,94.56,75,94.57
h32_l3_t75,3,32,75,94.56,100,94.57
h32_l3_t100,3,32,100,94.95,25,95.13
h32_l3_t100,3,32,100,94.95,50,94.74
h32_l3_t100,3,32,100,94.95,75,95.05
h32_l3_t100,3,32,100,94.95,100,95.20
h64_l3_t25,3,64,25,96.48,25,96.42
h64_l3_t25,3,64,25,96.48,50,96.51
h64_l3_t25,3,64,25,96.48,75,96.36
h64_l3_t25,3,64,25,96.48,100,96.35
h64_l3_t50,3,64,50,96.44,25,96.45
h64_l3_t50,3,64,50,96.44,50,96.27
h64_l3_t50,3,64,50,96.44,75,96.55
h64_l3_t50,3,64,50,96.44,100,96.58
h64_l3_t75,3,64,75,96.39,25,96.48
h64_l3_t75,3,64,75,96.39,50,96.29
h64_l3_t75,3,64,75,96.39,75,96.44
h64_l3_t75,3,64,75,96.39,100,96.25
h64_l3_t100,3,64,100,96.40,25,96.27
h64_l3_t100,3,64,100,96.40,50,96.19
h64_l3_t100,3,64,100,96.40,75,96.13
h64_l3_t100,3,64,100,96.40,100,96.12
h128_l3_t25,3,128,25,96.92,25,96.91
h128_l3_t25,3,128,25,96.92,50,97.04
h128_l3_t25,3,128,25,96.92,75,96.95
h128_l3_t25,3,128,25,96.92,100,97.00
h128_l3_t50,3,128,50,97.17,25,97.13
h128_l3_t50,3,128,50,97.17,50,97.22
h128_l3_t50,3,128,50,97.17,75,97.26
h128_l3_t50,3,128,50,97.17,100,97.15
h128_l3_t75,3,128,75,96.66,25,96.70
h128_l3_t75,3,128,75,96.66,50,96.64
h128_l3_t75,3,128,75,96.66,75,96.67
h128_l3_t75,3,128,75,96.66,100,96.47
h128_l3_t100,3,128,100,96.40,25,96.30
h128_l3_t100,3,128,100,96.40,50,96.43
h128_l3_t100,3,128,100,96.40,75,96.30
h128_l3_t100,3,128,100,96.40,100,96.58
h256_l3_t25,3,256,25,97.65,25,97.60
h256_l3_t25,3,256,25,97.65,50,97.64
h256_l3_t25,3,256,25,97.65,75,97.57
h256_l3_t25,3,256,25,97.65,100,97.61
h256_l3_t50,3,256,50,97.47,25,97.35
h256_l3_t50,3,256,50,97.47,50,97.26
h256_l3_t50,3,256,50,97.47,75,97.27
h256_l3_t50,3,256,50,97.47,100,97.27
h256_l3_t75,3,256,75,97.35,25,97.37
h256_l3_t75,3,256,75,97.35,50,97.33
h256_l3_t75,3,256,75,97.35,75,97.34
h256_l3_t75,3,256,75,97.35,100,97.33
h256_l3_t100,3,256,100,97.28,25,97.27
h256_l3_t100,3,256,100,97.28,50,97.21
h256_l3_t100,3,256,100,97.28,75,97.25
h256_l3_t100,3,256,100,97.28,100,97.31
h512_l3_t25,3,512,25,97.29,25,97.45
h512_l3_t25,3,512,25,97.29,50,97.33
h512_l3_t25,3,512,25,97.29,75,97.44
h512_l3_t25,3,512,25,97.29,100,97.28
h512_l3_t50,3,512,50,97.86,25,97.74
h512_l3_t50,3,512,50,97.86,50,97.80
h512_l3_t50,3,512,50,97.86,75,97.79
h512_l3_t50,3,512,50,97.86,100,97.79
h512_l3_t75,3,512,75,97.68,25,97.73
h512_l3_t75,3,512,75,97.68,50,97.69
h512_l3_t75,3,512,75,97.68,75,97.71
h512_l3_t75,3,512,75,97.68,100,97.67
h512_l3_t100,3,512,100,97.64,25,97.61
h512_l3_t100,3,512,100,97.64,50,97.63
h512_l3_t100,3,512,100,97.64,75,97.69
h512_l3_t100,3,512,100,97.64,100,97.58
